ar,re,lx,ly,distance_from_training,is_training_ar,mae_x,mae_y,mae_mag,rmse_x,rmse_y,rmse_mag,error_growth_rate
1.1x1,100,1.1,1.0,0.6683291873706964,False,3.0296942e-08,2.1314322e-07,2.149752e-07,3.9548706e-08,4.4891274e-07,4.3981936e-07,
1.1x1,1000,1.1,1.0,0.6683291873706964,False,8.8524494e-08,2.9305144e-07,2.4033523e-07,1.7154855e-07,5.995399e-07,4.884761e-07,
1.1x1,1100,1.1,1.0,0.6683291873706964,False,6.52958e-08,3.50253e-07,2.7458637e-07,1.760104e-07,6.8705083e-07,5.72833e-07,
1.1x1,1200,1.1,1.0,0.6683291873706964,False,8.200335e-08,3.6110765e-07,2.7903337e-07,2.0468418e-07,7.347059e-07,6.0178525e-07,
1.1x1,1300,1.1,1.0,0.6683291873706964,False,9.287786e-08,3.6314907e-07,2.698624e-07,2.4716346e-07,7.5529096e-07,6.0553896e-07,
1.1x1,1400,1.1,1.0,0.6683291873706964,False,1.16865465e-07,3.965885e-07,2.95637e-07,2.6999624e-07,8.131122e-07,6.5351855e-07,
1.1x1,1500,1.1,1.0,0.6683291873706964,False,1.05778305e-07,4.0678913e-07,3.1726026e-07,2.3598251e-07,8.0887213e-07,6.333116e-07,
1.1x1,1600,1.1,1.0,0.6683291873706964,False,1.5761987e-07,4.1467015e-07,2.9655615e-07,3.5150535e-07,8.312618e-07,6.385744e-07,
1.1x1,1700,1.1,1.0,0.6683291873706964,False,1.6931669e-07,4.090073e-07,2.743758e-07,3.9433613e-07,7.739644e-07,5.7647793e-07,
1.1x1,1800,1.1,1.0,0.6683291873706964,False,1.8200842e-07,4.1981042e-07,2.8774582e-07,3.834715e-07,8.229476e-07,6.2827763e-07,
1.1x1,1900,1.1,1.0,0.6683291873706964,False,2.3977705e-07,4.4026802e-07,3.084826e-07,4.5284273e-07,8.8020505e-07,6.5522477e-07,
1.1x1,200,1.1,1.0,0.6683291873706964,False,7.7454985e-08,2.0926538e-07,2.486651e-07,8.2164945e-08,4.3990912e-07,4.2142958e-07,
1.1x1,2000,1.1,1.0,0.6683291873706964,False,1.4011997e-07,4.6193895e-07,3.1585245e-07,3.773456e-07,9.0123456e-07,6.541822e-07,
1.1x1,2100,1.1,1.0,0.6683291873706964,False,1.4359846e-07,4.8303735e-07,3.2731623e-07,3.9196897e-07,9.497084e-07,6.9464704e-07,
1.1x1,300,1.1,1.0,0.6683291873706964,False,2.6200171e-08,2.2194882e-07,2.0228333e-07,5.820792e-08,4.6376323e-07,4.2780232e-07,
1.1x1,400,1.1,1.0,0.6683291873706964,False,4.9691693e-08,2.2752212e-07,2.1246572e-07,7.562136e-08,4.6193398e-07,4.1537788e-07,
1.1x1,500,1.1,1.0,0.6683291873706964,False,6.440148e-08,2.3053127e-07,2.2209166e-07,9.9673144e-08,4.975345e-07,4.426092e-07,
1.1x1,600,1.1,1.0,0.6683291873706964,False,3.582509e-08,2.6148578e-07,2.1712503e-07,1.0385175e-07,5.179831e-07,4.5075993e-07,
1.1x1,700,1.1,1.0,0.6683291873706964,False,9.360029e-08,2.8297396e-07,2.3749156e-07,1.5335434e-07,5.542381e-07,4.729508e-07,
1.1x1,800,1.1,1.0,0.6683291873706964,False,5.8741144e-08,2.6509565e-07,2.1771088e-07,1.3484305e-07,5.359102e-07,4.4650423e-07,
1.1x1,900,1.1,1.0,0.6683291873706964,False,6.79071e-08,3.0420705e-07,2.3651927e-07,1.777668e-07,6.080194e-07,5.1239414e-07,
1.2x1,100,1.2,1.0,0.6732679675728525,False,3.4771183e-08,2.1637841e-07,2.1754752e-07,5.1224127e-08,4.4869748e-07,4.38972e-07,
1.2x1,1000,1.2,1.0,0.6732679675728525,False,5.7279564e-08,2.9692586e-07,2.3339065e-07,1.5675212e-07,6.1628947e-07,5.1861844e-07,
1.2x1,1100,1.2,1.0,0.6732679675728525,False,9.8689185e-08,3.2257438e-07,2.463873e-07,2.3156777e-07,6.555911e-07,5.32126e-07,
1.2x1,1200,1.2,1.0,0.6732679675728525,False,6.5879554e-08,3.5460118e-07,2.7120507e-07,1.9903828e-07,7.2904976e-07,5.960469e-07,
1.2x1,1300,1.2,1.0,0.6732679675728525,False,7.483867e-08,3.659881e-07,2.7949343e-07,2.1953306e-07,7.578724e-07,6.1344167e-07,
