re,ar,lx,ly,distance_from_training,mae_mag,rmse_mag,mae_x,mae_y,rmse_x,rmse_y
100,1.1x1,1.100000e+00,1.000000e+00,6.683292e-01,2.149752e-07,4.398194e-07,3.029694e-08,2.131432e-07,3.954871e-08,4.489127e-07
100,1.2x1,1.200000e+00,1.000000e+00,6.732680e-01,2.175475e-07,4.389720e-07,3.477118e-08,2.163784e-07,5.122413e-08,4.486975e-07
100,1.3x1,1.300000e+00,1.000000e+00,6.813436e-01,2.415678e-07,4.633282e-07,3.677982e-08,2.349699e-07,4.963709e-08,4.720420e-07
100,1.4x1,1.400000e+00,1.000000e+00,6.923443e-01,2.605905e-07,4.984275e-07,3.882352e-08,2.590082e-07,4.945462e-08,5.050876e-07
100,1.5x1,1.500000e+00,1.000000e+00,7.060113e-01,2.558969e-07,4.692825e-07,2.718467e-08,2.599056e-07,3.834393e-08,4.776032e-07
100,1.6x1,1.600000e+00,1.000000e+00,7.220635e-01,2.407011e-07,4.701386e-07,1.823589e-08,2.393547e-07,2.219343e-08,4.791908e-07
100,1.7x1,1.700000e+00,1.000000e+00,7.402185e-01,2.450024e-07,4.765538e-07,1.723612e-08,2.472371e-07,2.385506e-08,4.850390e-07
100,1.8x1,1.800000e+00,1.000000e+00,7.602083e-01,2.408678e-07,4.594499e-07,3.946036e-08,2.358929e-07,5.140712e-08,4.646783e-07
100,1.9x1,1.900000e+00,1.000000e+00,7.817875e-01,2.581460e-07,4.935308e-07,2.530481e-08,2.623870e-07,4.148007e-08,5.010431e-07
200,1.1x1,1.100000e+00,1.000000e+00,6.683292e-01,2.486651e-07,4.214296e-07,7.745498e-08,2.092654e-07,8.216495e-08,4.399091e-07
200,1.2x1,1.200000e+00,1.000000e+00,6.732680e-01,2.323526e-07,4.302653e-07,2.301881e-08,2.438422e-07,4.133802e-08,4.512310e-07
200,1.3x1,1.300000e+00,1.000000e+00,6.813436e-01,2.396186e-07,4.281985e-07,5.223845e-08,2.351438e-07,6.044873e-08,4.485123e-07
200,1.4x1,1.400000e+00,1.000000e+00,6.923443e-01,2.407945e-07,4.644205e-07,4.320754e-08,2.296910e-07,4.710327e-08,4.817647e-07
200,1.5x1,1.500000e+00,1.000000e+00,7.060113e-01,2.503637e-07,4.898772e-07,3.260703e-08,2.601258e-07,5.115683e-08,5.079618e-07
200,1.6x1,1.600000e+00,1.000000e+00,7.220635e-01,2.515204e-07,4.678094e-07,4.405161e-08,2.599260e-07,6.367436e-08,4.854126e-07
200,1.7x1,1.700000e+00,1.000000e+00,7.402185e-01,2.409614e-07,4.673394e-07,3.088713e-08,2.433501e-07,4.355126e-08,4.834274e-07
200,1.8x1,1.800000e+00,1.000000e+00,7.602083e-01,2.670545e-07,4.972418e-07,5.750528e-08,2.514742e-07,6.383792e-08,5.089140e-07
200,1.9x1,1.900000e+00,1.000000e+00,7.817875e-01,2.670133e-07,4.845857e-07,5.492606e-08,2.723801e-07,7.353769e-08,4.990275e-07
300,1.1x1,1.100000e+00,1.000000e+00,6.683292e-01,2.022833e-07,4.278023e-07,2.620017e-08,2.219488e-07,5.820792e-08,4.637632e-07
300,1.2x1,1.200000e+00,1.000000e+00,6.732680e-01,2.209492e-07,4.337056e-07,5.761479e-08,2.216060e-07,1.063659e-07,4.512374e-07
300,1.3x1,1.300000e+00,1.000000e+00,6.813436e-01,2.306106e-07,4.590333e-07,4.169918e-08,2.340761e-07,6.129957e-08,4.888510e-07
300,1.4x1,1.400000e+00,1.000000e+00,6.923443e-01,2.300801e-07,4.750273e-07,5.156534e-08,2.421497e-07,9.419674e-08,5.025445e-07
300,1.5x1,1.500000e+00,1.000000e+00,7.060113e-01,2.507330e-07,4.716321e-07,4.468946e-08,2.601774e-07,5.545923e-08,4.965531e-07
300,1.6x1,1.600000e+00,1.000000e+00,7.220635e-01,2.532585e-07,4.827784e-07,2.982125e-08,2.719023e-07,4.891657e-08,5.090433e-07
300,1.7x1,1.700000e+00,1.000000e+00,7.402185e-01,2.542932e-07,4.666097e-07,4.527809e-08,2.624010e-07,5.954677e-08,4.924153e-07
300,1.8x1,1.800000e+00,1.000000e+00,7.602083e-01,2.443582e-07,4.633415e-07,4.520458e-08,2.558917e-07,7.419668e-08,4.883908e-07
300,1.9x1,1.900000e+00,1.000000e+00,7.817875e-01,2.696377e-07,4.918804e-07,4.905709e-08,2.745903e-07,7.223853e-08,5.116053e-07
400,1.1x1,1.100000e+00,1.000000e+00,6.683292e-01,2.124657e-07,4.153779e-07,4.969169e-08,2.275221e-07,7.562136e-08,4.619340e-07
400,1.2x1,1.200000e+00,1.000000e+00,6.732680e-01,2.084589e-07,4.253612e-07,4.020071e-08,2.273967e-07,6.986424e-08,4.668120e-07
400,1.3x1,1.300000e+00,1.000000e+00,6.813436e-01,2.386001e-07,4.472082e-07,5.822656e-08,2.411394e-07,7.307003e-08,4.866371e-07
400,1.4x1,1.400000e+00,1.000000e+00,6.923443e-01,2.143307e-07,4.559689e-07,3.315077e-08,2.400777e-07,6.783514e-08,4.919434e-07
400,1.5x1,1.500000e+00,1.000000e+00,7.060113e-01,2.377321e-07,4.654149e-07,3.467295e-08,2.613077e-07,7.194527e-08,5.047382e-07
400,1.6x1,1.600000e+00,1.000000e+00,7.220635e-01,2.256876e-07,4.530253e-07,3.151149e-08,2.449611e-07,5.636882e-08,4.905514e-07
400,1.7x1,1.700000e+00,1.000000e+00,7.402185e-01,2.452450e-07,4.697751e-07,4.169583e-08,2.599194e-07,6.294030e-08,5.043633e-07
400,1.8x1,1.800000e+00,1.000000e+00,7.602083e-01,2.686087e-07,4.869345e-07,3.915834e-08,2.873321e-07,5.690647e-08,5.205929e-07
400,1.9x1,1.900000e+00,1.000000e+00,7.817875e-01,2.595170e-07,5.052821e-07,6.063524e-08,2.753877e-07,9.857293e-08,5.372888e-07
500,1.1x1,1.100000e+00,1.000000e+00,6.683292e-01,2.220917e-07,4.426092e-07,6.440148e-08,2.305313e-07,9.967314e-08,4.975345e-07
500,1.2x1,1.200000e+00,1.000000e+00,6.732680e-01,2.176701e-07,4.666509e-07,5.160672e-08,2.327832e-07,8.273871e-08,5.140639e-07
500,1.3x1,1.300000e+00,1.000000e+00,6.813436e-01,2.260670e-07,4.517211e-07,9.799928e-08,2.513047e-07,1.557097e-07,4.988378e-07
500,1.4x1,1.400000e+00,1.000000e+00,6.923443e-01,2.433359e-07,4.724625e-07,7.726879e-08,2.423752e-07,1.151804e-07,5.042056e-07
500,1.5x1,1.500000e+00,1.000000e+00,7.060113e-01,2.356172e-07,4.815582e-07,4.808734e-08,2.623509e-07,8.960765e-08,5.296931e-07
500,1.6x1,1.600000e+00,1.000000e+00,7.220635e-01,2.262186e-07,4.664098e-07,4.189490e-08,2.474825e-07,8.430469e-08,5.103729e-07
500,1.7x1,1.700000e+00,1.000000e+00,7.402185e-01,2.608465e-07,4.644246e-07,5.084971e-08,2.795873e-07,7.267596e-08,5.090352e-07
500,1.8x1,1.800000e+00,1.000000e+00,7.602083e-01,2.413983e-07,4.770124e-07,3.320774e-08,2.737979e-07,7.906585e-08,5.194506e-07
500,1.9x1,1.900000e+00,1.000000e+00,7.817875e-01,2.649652e-07,4.897812e-07,5.498890e-08,2.762463e-07,7.956600e-08,5.268774e-07
600,1.1x1,1.100000e+00,1.000000e+00,6.683292e-01,2.171250e-07,4.507599e-07,3.582509e-08,2.614858e-07,1.038517e-07,5.179831e-07
600,1.2x1,1.200000e+00,1.000000e+00,6.732680e-01,2.239977e-07,4.632747e-07,6.286243e-08,2.426425e-07,1.023940e-07,5.168598e-07
600,1.3x1,1.300000e+00,1.000000e+00,6.813436e-01,2.348855e-07,4.570355e-07,5.958572e-08,2.529715e-07,9.348874e-08,5.189958e-07
600,1.4x1,1.400000e+00,1.000000e+00,6.923443e-01,2.221630e-07,4.800457e-07,3.688135e-08,2.591824e-07,9.988284e-08,5.396829e-07
600,1.5x1,1.500000e+00,1.000000e+00,7.060113e-01,2.215525e-07,4.628161e-07,6.208455e-08,2.582274e-07,1.248165e-07,5.207024e-07
600,1.6x1,1.600000e+00,1.000000e+00,7.220635e-01,2.476459e-07,5.031885e-07,4.737435e-08,2.726132e-07,8.804696e-08,5.547435e-07
600,1.7x1,1.700000e+00,1.000000e+00,7.402185e-01,2.424055e-07,4.720802e-07,5.940731e-08,2.725786e-07,9.671425e-08,5.269455e-07
600,1.8x1,1.800000e+00,1.000000e+00,7.602083e-01,2.795516e-07,5.085086e-07,6.596031e-08,3.003676e-07,1.023993e-07,5.473710e-07
