re,ar,lx,ly,distance_from_training,mae_mag,rmse_mag,mae_x,mae_y,rmse_x,rmse_y
100,1.1x1,1.100000e+00,1.000000e+00,6.683292e-01,5.086419e-08,8.230317e-08,3.694582e-08,2.806606e-08,6.262924e-08,5.461473e-08
100,1.2x1,1.200000e+00,1.000000e+00,6.732680e-01,5.810772e-08,8.073956e-08,4.649792e-08,3.063416e-08,6.324758e-08,5.254278e-08
100,1.3x1,1.300000e+00,1.000000e+00,6.813436e-01,5.701506e-08,8.880664e-08,4.530005e-08,2.805112e-08,7.377277e-08,5.075531e-08
100,1.4x1,1.400000e+00,1.000000e+00,6.923443e-01,5.530888e-08,8.678347e-08,4.820448e-08,1.767282e-08,7.600685e-08,4.328450e-08
100,1.5x1,1.500000e+00,1.000000e+00,7.060113e-01,6.314032e-08,9.355242e-08,5.058034e-08,3.330052e-08,7.805532e-08,5.343059e-08
100,1.6x1,1.600000e+00,1.000000e+00,7.220635e-01,5.967394e-08,9.576839e-08,4.541932e-08,2.739531e-08,8.306888e-08,4.840988e-08
100,1.7x1,1.700000e+00,1.000000e+00,7.402185e-01,8.466967e-08,1.252481e-07,7.247698e-08,2.346505e-08,1.141863e-07,5.229418e-08
100,1.8x1,1.800000e+00,1.000000e+00,7.602083e-01,5.987846e-08,8.755359e-08,5.385925e-08,1.838470e-08,7.546186e-08,4.681883e-08
100,1.9x1,1.900000e+00,1.000000e+00,7.817875e-01,7.742184e-08,1.004512e-07,6.838336e-08,3.249997e-08,8.860348e-08,5.122802e-08
200,1.1x1,1.100000e+00,1.000000e+00,6.683292e-01,4.230510e-08,5.776938e-08,3.549481e-08,2.679959e-08,4.508179e-08,4.130495e-08
200,1.2x1,1.200000e+00,1.000000e+00,6.732680e-01,3.841132e-08,5.719851e-08,3.197473e-08,2.291811e-08,4.442888e-08,4.066120e-08
200,1.3x1,1.300000e+00,1.000000e+00,6.813436e-01,5.594117e-08,8.778794e-08,5.053397e-08,1.595890e-08,8.189606e-08,3.426688e-08
200,1.4x1,1.400000e+00,1.000000e+00,6.923443e-01,5.892469e-08,8.175396e-08,3.947477e-08,3.831545e-08,6.728570e-08,4.928481e-08
200,1.5x1,1.500000e+00,1.000000e+00,7.060113e-01,4.955067e-08,7.492867e-08,4.733672e-08,1.722167e-08,6.784219e-08,3.587054e-08
200,1.6x1,1.600000e+00,1.000000e+00,7.220635e-01,5.275003e-08,7.961575e-08,3.826958e-08,2.542851e-08,6.921051e-08,4.054326e-08
200,1.7x1,1.700000e+00,1.000000e+00,7.402185e-01,6.588694e-08,9.231834e-08,3.924507e-08,5.135872e-08,7.167696e-08,6.259808e-08
200,1.8x1,1.800000e+00,1.000000e+00,7.602083e-01,6.033952e-08,8.219060e-08,4.748207e-08,3.993760e-08,6.905729e-08,4.970310e-08
200,1.9x1,1.900000e+00,1.000000e+00,7.817875e-01,4.542417e-08,6.849137e-08,2.717241e-08,3.510862e-08,5.041877e-08,4.925800e-08
300,1.1x1,1.100000e+00,1.000000e+00,6.683292e-01,3.012781e-08,4.561112e-08,2.571917e-08,1.148447e-08,4.192998e-08,2.223162e-08
300,1.2x1,1.200000e+00,1.000000e+00,6.732680e-01,5.688241e-08,7.311290e-08,3.034076e-08,4.644357e-08,5.635730e-08,5.292871e-08
300,1.3x1,1.300000e+00,1.000000e+00,6.813436e-01,5.963805e-08,7.200224e-08,5.028749e-08,3.360702e-08,6.285986e-08,4.133607e-08
300,1.4x1,1.400000e+00,1.000000e+00,6.923443e-01,3.760804e-08,4.730308e-08,3.747487e-08,2.051600e-08,4.357462e-08,3.060675e-08
300,1.5x1,1.500000e+00,1.000000e+00,7.060113e-01,3.924313e-08,5.215515e-08,3.407257e-08,2.970258e-08,4.127566e-08,4.279232e-08
300,1.6x1,1.600000e+00,1.000000e+00,7.220635e-01,4.455441e-08,6.562885e-08,3.725200e-08,2.636926e-08,5.692864e-08,3.828804e-08
300,1.7x1,1.700000e+00,1.000000e+00,7.402185e-01,4.088394e-08,5.588172e-08,4.232580e-08,1.720167e-08,5.324879e-08,2.810375e-08
300,1.8x1,1.800000e+00,1.000000e+00,7.602083e-01,3.554765e-08,5.893743e-08,3.567562e-08,1.798158e-08,5.209935e-08,3.503898e-08
300,1.9x1,1.900000e+00,1.000000e+00,7.817875e-01,6.926717e-08,9.050965e-08,4.900040e-08,4.158305e-08,7.981554e-08,4.688346e-08
400,1.1x1,1.100000e+00,1.000000e+00,6.683292e-01,1.560812e-08,2.425408e-08,1.919579e-08,1.036899e-08,2.395586e-08,2.003154e-08
400,1.2x1,1.200000e+00,1.000000e+00,6.732680e-01,2.259972e-08,2.920443e-08,2.450854e-08,1.355235e-08,2.777024e-08,2.220482e-08
400,1.3x1,1.300000e+00,1.000000e+00,6.813436e-01,1.940787e-08,2.788405e-08,1.454582e-08,2.456330e-08,2.031513e-08,2.977591e-08
400,1.4x1,1.400000e+00,1.000000e+00,6.923443e-01,4.535759e-08,5.122379e-08,2.206214e-08,4.669047e-08,3.048879e-08,4.997504e-08
400,1.5x1,1.500000e+00,1.000000e+00,7.060113e-01,2.766962e-08,4.472522e-08,2.496093e-08,1.248654e-08,4.047259e-08,2.326138e-08
400,1.6x1,1.600000e+00,1.000000e+00,7.220635e-01,3.279233e-08,4.510839e-08,3.031245e-08,2.548904e-08,3.971724e-08,3.119634e-08
400,1.7x1,1.700000e+00,1.000000e+00,7.402185e-01,4.640775e-08,6.257352e-08,3.661499e-08,2.035112e-08,5.718786e-08,2.915846e-08
400,1.8x1,1.800000e+00,1.000000e+00,7.602083e-01,2.106591e-08,4.122407e-08,1.948790e-08,9.680322e-09,3.717357e-08,2.160612e-08
400,1.9x1,1.900000e+00,1.000000e+00,7.817875e-01,3.907773e-08,6.424705e-08,3.147778e-08,1.647873e-08,5.904067e-08,2.859976e-08
500,1.1x1,1.100000e+00,1.000000e+00,6.683292e-01,4.483041e-08,5.191283e-08,2.828383e-08,3.542869e-08,4.319354e-08,3.757386e-08
500,1.2x1,1.200000e+00,1.000000e+00,6.732680e-01,3.437595e-08,3.922325e-08,1.166773e-08,3.572231e-08,2.182104e-08,3.999894e-08
500,1.3x1,1.300000e+00,1.000000e+00,6.813436e-01,1.845990e-08,2.600353e-08,2.197161e-08,1.558367e-08,2.624182e-08,2.156245e-08
