<<<<<<< Updated upstream
Re,count,mae,rmse,r2,median_error
3100,108,1.5581574075440585e-07,2.4322031322299154e-07,0.9856948852539062,7.691457426517445e-08
2500,108,1.2023870965549577e-07,1.9113868177100812e-07,0.9833498597145081,5.84397668035308e-08
2950,108,1.196433743189118e-07,1.7459394996421906e-07,0.9914875030517578,7.133547796911444e-08
2750,108,1.1455098558599275e-07,1.6405537905939127e-07,0.9907631278038025,6.558990151006583e-08
2700,387,8.593529798872623e-08,1.7710434008222364e-07,0.9120193719863892,4.901863803752349e-08
2900,387,7.706471194524056e-08,2.005725718845497e-07,0.9043512344360352,2.8366770266075036e-08
2250,387,7.56625908593378e-08,1.4884821553096117e-07,0.9054626822471619,4.5841815676794795e-08
2150,108,6.923615814002915e-08,1.0165032904296822e-07,0.9925565719604492,5.1442370363474765e-08
2600,288,6.66817712158263e-08,1.222171590598009e-07,0.9862390756607056,2.0517987309176533e-08
2850,180,5.829578952898373e-08,7.82508209340449e-08,0.38432085514068604,4.147226917439184e-08
500,108,5.428323035516769e-08,9.266054235013144e-08,0.24864590167999268,1.1358039841979917e-08
2000,108,5.187979112974972e-08,7.951854286147864e-08,0.9943057894706726,2.767366424905049e-08
1950,108,4.784763163456773e-08,7.762057663285304e-08,0.9941303730010986,2.9016632652201224e-08
1250,180,4.711125001222172e-08,5.403078517929316e-08,-1.6123247146606445,4.081184812321226e-08
1150,180,4.60088465104036e-08,5.2087930413335926e-08,-2.0398130416870117,4.0832972558746405e-08
1050,180,4.465266201236773e-08,5.003608194442677e-08,-2.587617874145508,4.0830101966093935e-08
350,567,4.2393320853761907e-08,5.003097669487033e-08,0.06256812810897827,4.11160243629638e-08
200,495,4.216869342599239e-08,9.056256544681673e-08,-6.309751987457275,1.4567632433681865e-08
1900,387,3.869644160658936e-08,1.1782702102891562e-07,0.91324782371521,1.822859019284806e-08
3150,180,3.783047120009542e-08,6.547634257003665e-08,0.6684556007385254,1.647627811962593e-08
700,108,3.767230083440154e-08,5.827465088259487e-08,0.9115339517593384,1.506700897380142e-08
1600,387,3.740783682815163e-08,1.0823337248666576e-07,0.8926892280578613,2.1077255496493308e-08
1450,387,3.5262303299532505e-08,8.93242031452246e-08,0.9091932773590088,1.917163672260358e-08
2650,180,3.4645207591665894e-08,5.928821167344722e-08,0.5720555186271667,1.503585167483834e-08
1300,387,3.277435212112323e-08,8.1564692777647e-08,0.9038715362548828,1.7372514093949576e-08
1800,567,3.1400460898112215e-08,9.795476785257051e-08,0.9033770561218262,1.625559775675356e-08
950,387,2.4637209605771204e-08,6.848287625871308e-08,0.8672887086868286,1.371043367726088e-08
1650,180,1.9671391626729928e-08,3.378075064119912e-08,0.514175534248352,1.8284040947946778e-08
=======
Re,count,mae,rmse,r2,median_error
3100,162,7.809335329511669e-07,1.6616623952359078e-06,-11.842406920423448,2.706404416130681e-07
2950,162,7.641297088412102e-07,1.6265654494418413e-06,-12.848650664816528,2.5614752985347877e-07
2750,162,7.336569183280517e-07,1.5578658576487214e-06,-14.007024409857472,2.3062942489104898e-07
2500,162,6.76855449910363e-07,1.4161007584334584e-06,-14.530431288613688,1.8212725194644008e-07
2150,162,5.654511596731027e-07,1.0387557267677039e-06,-10.901072263477747,1.71462204434647e-07
2000,162,5.403196041697811e-07,9.562509148963727e-07,-10.93499282409894,1.6546049153021158e-07
1950,162,5.107399942971824e-07,8.720463711142656e-07,-9.526307052555543,1.5848578982513573e-07
2600,378,3.757747322197247e-07,9.923323887051083e-07,-9.642511102386788,6.080351511172921e-08
700,162,2.7750070330512244e-07,4.322133975165343e-07,-24.820238464949906,8.88069706661554e-08
500,162,2.661172970874759e-07,4.1866022115755186e-07,-48.96253455534099,8.11214135865157e-08
2900,516,2.5838616579676454e-07,8.659369541419437e-07,0.46313117742501886,6.781185390991595e-08
2700,516,2.569412060893228e-07,7.82814481681271e-07,0.48916067515823447,6.693034038107726e-08
2250,516,2.1089431356813293e-07,6.424583602893108e-07,0.49352663593898094,5.376206502205605e-08
1450,516,2.0017338897559966e-07,4.631824026546383e-07,0.3370741856637888,6.122783702267043e-08
1600,516,1.9504707893247542e-07,4.830336592931417e-07,0.41334964011912567,6.092672322211001e-08
1300,516,1.923661443470337e-07,4.3721499309867795e-07,0.25777888442427055,6.524510354211088e-08
1900,516,1.9161622333285777e-07,5.532124305318575e-07,0.4635725016713378,5.472081454627187e-08
200,678,1.6497914145929826e-07,3.3808865396167675e-07,-28.037224640315628,3.8142744074320944e-08
1800,732,1.6481328657391714e-07,4.560496904559841e-07,0.4430768684473988,4.455657176549721e-08
950,516,1.6346110953691095e-07,3.6899794508826744e-07,-0.018068617701335388,4.325809754845977e-08
2850,216,1.4973674922202918e-07,2.8040355459779676e-07,-0.4890068100634841,5.996218988002511e-08
2650,216,1.303097292293387e-07,2.7184356099496654e-07,-0.6467849670105099,3.854179908557853e-08
3150,216,1.2765933377067995e-07,2.4689146016498853e-07,0.0779489204760927,4.720816093595204e-08
1250,216,1.2549864436550706e-07,2.8434831733648025e-07,-8.39530502589175,2.70585758244124e-08
1650,216,1.232603068501703e-07,2.490805286470277e-07,-2.93886404440744,3.202961806891835e-08
350,732,1.220090553033515e-07,2.822646081312996e-07,-5.670605034189282,2.612296157167293e-08
1150,216,1.2125762793857575e-07,2.7598503038461786e-07,-9.600129222270597,2.579650981715531e-08
1050,216,1.1595216875548431e-07,2.6456962132215267e-07,-10.850948261763035,2.455411163282406e-08
>>>>>>> Stashed changes
