Re,Aspect,Max_Error_Pa,Mean_Error_Pa,Max_Rel_Error_%,Mean_Rel_Error_%
200,1x1,8.631856e-07,6.0166286e-08,175.5965,29.754494
200,2x1,1.7203084e-07,4.5485162e-08,142.86958,21.488428
350,1x1,4.8197614e-07,5.1734503e-08,123.7576,26.29703
350,1x2,1.542796e-07,4.7659704e-08,94.680855,23.635912
500,2x1,1.4815578e-07,4.054729e-08,142.00375,20.843752
700,2x1,1.4844876e-07,3.508679e-08,123.38431,19.052584
950,1x1,1.6892295e-07,4.7559727e-08,124.074745,27.307741
1050,1x2,1.4690147e-07,4.4101117e-08,131.93532,24.50656
1150,1x2,1.519027e-07,4.6230372e-08,128.1586,24.738304
1250,1x2,1.5339046e-07,4.507497e-08,125.86138,25.133753
1300,1x1,4.6257833e-07,5.3598587e-08,134.85968,26.448776
1450,1x1,5.7773104e-07,5.9493672e-08,134.93686,26.83509
1600,1x1,4.956519e-07,6.2744114e-08,134.05005,27.298784
1650,1x2,1.5112974e-07,5.194483e-08,129.48431,27.339865
1800,1x1,3.3524225e-07,5.5633596e-08,134.82327,26.827833
1800,1x2,1.4936859e-07,4.9127433e-08,123.725784,26.98393
1900,1x1,3.2260482e-07,5.772194e-08,129.4813,26.738205
1950,2x1,1.449015e-07,5.2722758e-08,116.18509,23.658752
2000,2x1,1.6038771e-07,5.4404442e-08,122.14478,24.00322
2150,2x1,1.631742e-07,5.475076e-08,139.00536,23.327753
2250,1x1,7.5186426e-07,6.952213e-08,122.12708,26.376987
2500,2x1,1.5408159e-07,5.5995613e-08,133.2359,21.89364
2600,1x2,1.6403067e-07,6.348542e-08,137.43358,32.49368
2600,2x1,1.775777e-07,5.8992857e-08,132.57364,22.34272
2650,1x2,1.7143054e-07,6.2309034e-08,141.16682,32.047913
2700,1x1,4.987305e-07,6.9296966e-08,120.94322,26.503384
2750,2x1,2.1820108e-07,6.0419865e-08,132.21213,21.574228
2850,1x2,1.6452208e-07,6.124779e-08,139.16167,30.545292
2900,1x1,5.3323424e-07,7.5323875e-08,126.295784,27.189745
2950,2x1,2.8456486e-07,7.0439995e-08,132.59717,22.588778
3100,2x1,3.5051926e-07,7.552756e-08,152.43512,23.247227
3150,1x2,1.5317852e-07,6.379437e-08,139.66273,32.046055
